code, people 
8105904, 236 
8108701, 293 
8108702, 247 
8108703, 435 
8108704, 179 
8108705, 330 
8108706, 427 
8108707, 202 
8109501, 179 
8109502, 240 
8109503, 181 
8109504, 311 
8109505, 319 
8109506, 218 
8109507, 299 
8109508, 346 
8109509, 282 
8109601, 307 
8109602, 255 
8109603, 388 
8109604, 309 
8109605, 238 
8108801, 349 
8108802, 216 
8108803, 263 
8108804, 305 
8108805, 221 
8108806, 220 
8108807, 304 
8108808, 234 
8108809, 441 
8108810, 151 
9999901, 733 
8111001, 319 
8111002, 316 
8111003, 182 
8111004, 283 
8111005, 216 
8111006, 224 
8108901, 26 
8106004, 663 
8106005, 392 
8106006, 369 
8106007, 289 
8109001, 128 
8109002, 137 
8109003, 383 
8109004, 441 
8109005, 246 
8109006, 263 
8109007, 336 
8109008, 352 
8109009, 212 
8109010, 407 
8109011, 356 
8109012, 196 
8109013, 242 
8109014, 365 
8109015, 220 
8109016, 343 
8109017, 125 
8109018, 257 
8109019, 335 
8109020, 188 
8109701, 369 
8109702, 273 
8109703, 302 
8109704, 181 
8109705, 177 
8109706, 256 
8109707, 287 
8109801, 315 
8109802, 256 
8109803, 283 
8109804, 186 
8109805, 434 
8109806, 237 
8109807, 243 
8109808, 325 
8109809, 376 
8107001, 246 
8107002, 362 
8107003, 371 
8107004, 247 
8107005, 353 
8107006, 273 
8107007, 394 
8107008, 169 
8105001, 358 
8105002, 250 
8105003, -   
8105004, 208 
8105005, 373 
8105006, 345 
8105007, 222 
8105008, 173 
8105009, 557 
8105010, 335 
8105011, 416 
8105012, 293 
8105013, 380 
8105014, 203 
8103401, 290 
8103402, 147 
8103403, 352 
8103404, 280 
8103405, 308 
8103406, 295 
8103407, 217 
8103408, 356 
8103409, 269 
8103410, 371 
8103411, 366 
8103412, 332 
8103413, 342 
8103414, 175 
8100101, 167 
8100102, 258 
8100103, 204 
8100104, 348 
8100105, 411 
8100106, 347 
8100201, 257 
8100202, 207 
8100203, 514 
8100204, 3 
8100205, -   
8100206, 953 
8100207," 1,311 "
8100208, 229 
8100209, 168 
8100210, 256 
8100211, 337 
8100212, 344 
8103501, 178 
8103502, 416 
8103503," 3,828 "
8103504, 467 
8105106, 494 
8105107, 466 
8105108, 596 
8105109, 492 
8100301, 242 
8100302, 442 
8100303, 496 
8100304, 738 
8100305, 545 
8100306, 258 
8100307, 162 
8100308, 292 
8100309, 185 
8100310, 147 
